state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Missouri,2/18/2020,0.0,-2.0,11.0,2.0,2.0,0.0
Montana,2/18/2020,-2.0,-1.0,-2.0,1.0,2.0,0.0
Nebraska,2/18/2020,5.0,2.0,24.0,6.0,2.0,0.0
Nevada,2/18/2020,2.0,1.0,6.0,4.0,1.0,0.0
New Hampshire,2/18/2020,-12.0,-11.0,-6.0,12.0,-1.0,3.0
New Jersey,2/18/2020,1.0,0.0,5.0,2.0,-1.0,1.0
New Mexico,2/18/2020,4.0,6.0,15.0,4.0,3.0,-1.0
New York,2/18/2020,-2.0,-5.0,-4.0,-5.0,-10.0,3.0
North Carolina,2/18/2020,1.0,0.0,14.0,6.0,1.0,0.0
North Dakota,2/18/2020,-2.0,-4.0,-5.0,6.0,-1.0,1.0
Ohio,2/18/2020,0.0,-1.0,6.0,3.0,2.0,0.0
Oklahoma,2/18/2020,0.0,-1.0,8.0,2.0,0.0,0.0
Oregon,2/18/2020,4.0,2.0,42.0,5.0,1.0,0.0
Pennsylvania,2/18/2020,1.0,-2.0,12.0,2.0,1.0,0.0
Rhode Island,2/18/2020,0.0,-7.0,-11.0,-3.0,-9.0,3.0
South Carolina,2/18/2020,-1.0,-1.0,-11.0,2.0,1.0,2.0
South Dakota,2/18/2020,-5.0,1.0,-2.0,0.0,-1.0,1.0
Tennessee,2/18/2020,-3.0,-3.0,-11.0,-1.0,1.0,1.0
Texas,2/18/2020,-1.0,-1.0,-4.0,3.0,1.0,0.0
Utah,2/18/2020,1.0,5.0,20.0,2.0,2.0,0.0
Vermont,2/18/2020,-5.0,-4.0,-3.0,9.0,-4.0,3.0
Virginia,2/18/2020,1.0,2.0,22.0,4.0,3.0,0.0
Washington,2/18/2020,5.0,2.0,52.0,7.0,-4.0,0.0
West Virginia,2/18/2020,3.0,-1.0,5.0,5.0,1.0,0.0
Wisconsin,2/18/2020,-1.0,0.0,17.0,3.0,0.0,0.0
Wyoming,2/18/2020,2.0,4.0,3.0,5.0,3.0,0.0
Alabama,2/19/2020,4.0,1.0,6.0,4.0,1.0,0.0
Alaska,2/19/2020,0.0,-2.0,1.0,4.0,-3.0,2.0
Arizona,2/19/2020,4.0,2.0,14.0,7.0,1.0,0.0
Arkansas,2/19/2020,4.0,1.0,24.0,0.0,3.0,-1.0
California,2/19/2020,0.0,0.0,13.0,1.0,0.0,0.0
Colorado,2/19/2020,-6.0,-4.0,-21.0,-2.0,0.0,2.0
Connecticut,2/19/2020,2.0,-1.0,12.0,4.0,0.0,0.0
Delaware,2/19/2020,2.0,0.0,7.0,5.0,2.0,0.0
District of Columbia,2/19/2020,-2.0,-3.0,7.0,-3.0,-5.0,1.0
Florida,2/19/2020,3.0,0.0,15.0,5.0,2.0,0.0
Georgia,2/19/2020,2.0,0.0,2.0,3.0,-2.0,1.0
Hawaii,2/19/2020,-1.0,-2.0,1.0,2.0,0.0,1.0
Idaho,2/19/2020,2.0,3.0,12.0,7.0,2.0,0.0
Illinois,2/19/2020,1.0,-1.0,3.0,2.0,1.0,0.0
Indiana,2/19/2020,4.0,0.0,9.0,5.0,2.0,0.0
Iowa,2/19/2020,-3.0,6.0,-2.0,0.0,3.0,0.0
Kansas,2/19/2020,4.0,3.0,8.0,4.0,4.0,-1.0
Kentucky,2/19/2020,2.0,1.0,14.0,3.0,2.0,0.0
Louisiana,2/19/2020,4.0,0.0,16.0,11.0,1.0,0.0
Maine,2/19/2020,6.0,-1.0,5.0,13.0,-12.0,2.0
Maryland,2/19/2020,2.0,0.0,7.0,1.0,2.0,0.0
Massachusetts,2/19/2020,3.0,-3.0,3.0,-2.0,-10.0,2.0
Michigan,2/19/2020,2.0,0.0,4.0,4.0,0.0,0.0
Minnesota,2/19/2020,0.0,-2.0,-13.0,3.0,1.0,0.0
Mississippi,2/19/2020,3.0,1.0,-2.0,2.0,0.0,0.0
Missouri,2/19/2020,9.0,1.0,-2.0,7.0,5.0,-2.0
Montana,2/19/2020,1.0,1.0,3.0,3.0,2.0,0.0
Nebraska,2/19/2020,-6.0,-3.0,-6.0,-2.0,1.0,1.0
Nevada,2/19/2020,1.0,1.0,11.0,8.0,1.0,0.0
New Hampshire,2/19/2020,7.0,2.0,10.0,15.0,0.0,1.0
New Jersey,2/19/2020,2.0,0.0,16.0,2.0,1.0,0.0
New Mexico,2/19/2020,2.0,4.0,5.0,3.0,3.0,0.0
New York,2/19/2020,3.0,-2.0,11.0,-3.0,-9.0,2.0
North Carolina,2/19/2020,2.0,4.0,-9.0,3.0,2.0,0.0
North Dakota,2/19/2020,0.0,-4.0,-5.0,9.0,1.0,1.0
Ohio,2/19/2020,3.0,0.0,14.0,3.0,2.0,0.0
Oklahoma,2/19/2020,5.0,3.0,21.0,5.0,3.0,-1.0
Oregon,2/19/2020,5.0,3.0,51.0,6.0,1.0,-1.0
Pennsylvania,2/19/2020,1.0,0.0,18.0,2.0,2.0,0.0
Rhode Island,2/19/2020,4.0,-2.0,16.0,0.0,-5.0,1.0
South Carolina,2/19/2020,1.0,0.0,-13.0,1.0,0.0,1.0
South Dakota,2/19/2020,-5.0,-1.0,-4.0,1.0,1.0,1.0
Tennessee,2/19/2020,3.0,3.0,13.0,4.0,3.0,-1.0
Texas,2/19/2020,-2.0,0.0,-12.0,0.0,3.0,1.0
Utah,2/19/2020,3.0,6.0,14.0,1.0,2.0,0.0
Vermont,2/19/2020,6.0,2.0,9.0,10.0,-3.0,1.0
Virginia,2/19/2020,2.0,2.0,6.0,3.0,2.0,0.0
Washington,2/19/2020,4.0,3.0,60.0,7.0,-2.0,-1.0
West Virginia,2/19/2020,4.0,-3.0,11.0,2.0,1.0,0.0
Wisconsin,2/19/2020,-1.0,0.0,0.0,0.0,2.0,0.0
Wyoming,2/19/2020,0.0,0.0,-2.0,-2.0,2.0,0.0
Alabama,2/20/2020,-7.0,-6.0,-25.0,-1.0,0.0,3.0
Alaska,2/20/2020,3.0,3.0,5.0,1.0,2.0,0.0
Arizona,2/20/2020,5.0,2.0,21.0,5.0,-1.0,0.0
Arkansas,2/20/2020,2.0,0.0,3.0,1.0,1.0,0.0
California,2/20/2020,2.0,1.0,12.0,1.0,0.0,0.0
Colorado,2/20/2020,2.0,2.0,-5.0,0.0,0.0,0.0
Connecticut,2/20/2020,2.0,-1.0,2.0,3.0,2.0,0.0
Delaware,2/20/2020,3.0,1.0,-3.0,6.0,2.0,0.0
District of Columbia,2/20/2020,1.0,-6.0,10.0,-1.0,-5.0,2.0
Florida,2/20/2020,2.0,1.0,10.0,4.0,1.0,0.0
Georgia,2/20/2020,-6.0,-7.0,-36.0,-1.0,-4.0,4.0
Hawaii,2/20/2020,2.0,1.0,6.0,2.0,0.0,0.0
Idaho,2/20/2020,5.0,3.0,16.0,7.0,2.0,0.0
Illinois,2/20/2020,0.0,0.0,0.0,0.0,2.0,0.0
Indiana,2/20/2020,3.0,-1.0,1.0,5.0,1.0,0.0
Iowa,2/20/2020,-1.0,5.0,0.0,-2.0,1.0,1.0
Kansas,2/20/2020,-2.0,-7.0,-3.0,-2.0,-1.0,1.0
Kentucky,2/20/2020,0.0,-1.0,-4.0,2.0,1.0,0.0
Louisiana,2/20/2020,0.0,-1.0,-24.0,1.0,-1.0,3.0
Maine,2/20/2020,8.0,2.0,5.0,8.0,-9.0,2.0
Maryland,2/20/2020,1.0,0.0,-6.0,0.0,2.0,0.0
Massachusetts,2/20/2020,3.0,-2.0,-1.0,-2.0,-8.0,2.0
Michigan,2/20/2020,2.0,-1.0,2.0,5.0,0.0,0.0
Minnesota,2/20/2020,-2.0,-2.0,-14.0,0.0,1.0,1.0
Mississippi,2/20/2020,-5.0,-4.0,-20.0,0.0,-1.0,3.0
Missouri,2/20/2020,1.0,0.0,1.0,3.0,3.0,0.0
